token,pos,syn_label,lemma,m_desc,m_type
guardhouse,n,O,no,CareVirtue,1
guardhouses,n,O,no,CareVirtue,1
guardian,n,H,no,CareVirtue,1
guardians,n,H,no,CareVirtue,1
guardianship,n,S,no,CareVirtue,1
guardianships,n,S,no,CareVirtue,1
guardroom,n,O,no,CareVirtue,1
guardrooms,n,O,no,CareVirtue,1
guards,n,S,no,CareVirtue,1
guardsman,n,O,no,CareVirtue,1
guardsmans,n,O,no,CareVirtue,1
harbor,v,S,yes,CareVirtue,1
harbour,v,S,yes,CareVirtue,1
harmless,adj,A,no,CareVirtue,1
harmlessly,adv,A,no,CareVirtue,1
harmonic,adj,S,no,CareVirtue,1
headquarter,n,H,no,CareVirtue,1
headquarters,n,H,no,CareVirtue,1
heartsease,n,S,no,CareVirtue,1
heartseases,n,S,no,CareVirtue,1
help,v,H,yes,CareVirtue,1
impregnable,adj,S,no,CareVirtue,1
indorse,v,H,yes,CareVirtue,1
innocuous,adj,S,no,CareVirtue,1
insure,v,S,yes,CareVirtue,1
intercessor,n,H,no,CareVirtue,1
intercessors,n,H,no,CareVirtue,1
intermediaries,n,H,no,CareVirtue,1
intermediary,n,H,no,CareVirtue,1
intermediator,n,H,no,CareVirtue,1
intermediators,n,H,no,CareVirtue,1
inviolable,adj,S,no,CareVirtue,1
keeping,n,S,no,CareVirtue,1
keepings,n,S,no,CareVirtue,1
kindlier,adj,S,no,CareVirtue,1
kindliest,adj,S,no,CareVirtue,1
kindly,adj,S,no,CareVirtue,1
large-hearted,adj,S,no,CareVirtue,1
law-abiding,adj,S,no,CareVirtue,1
likable,adj,S,no,CareVirtue,1
likeable,adj,S,no,CareVirtue,1
love,n,H,no,CareVirtue,1
loves,n,H,no,CareVirtue,1
lovesome,adj,S,no,CareVirtue,1
lovingness,n,S,no,CareVirtue,1
lovingnesses,n,S,no,CareVirtue,1
made-peace,n,S,no,CareVirtue,1
maintain,v,S,yes,CareVirtue,1
maintenance,n,S,no,CareVirtue,1
maintenances,n,S,no,CareVirtue,1
make-peace,n,S,no,CareVirtue,1
manage,v,S,yes,CareVirtue,1
mediator,n,H,no,CareVirtue,1
mediators,n,H,no,CareVirtue,1
mend,n,H,no,CareVirtue,1
mending,n,H,no,CareVirtue,1
mendings,n,H,no,CareVirtue,1
mends,n,H,no,CareVirtue,1
mercies,n,H,no,CareVirtue,1
mercifulness,n,H,no,CareVirtue,1
mercifulnesses,n,H,no,CareVirtue,1
mercy,n,H,no,CareVirtue,1
nonmalignant,adj,S,no,CareVirtue,1
nonviolent,adj,A,no,CareVirtue,1
nonviolently,adv,A,no,CareVirtue,1
offering protection,adv,S,no,CareVirtue,1
openhearted,adj,S,no,CareVirtue,1
pacific,adj,S,no,CareVirtue,1
pacifically,adv,S,no,CareVirtue,1
pacification,n,S,no,CareVirtue,1
pacifications,n,S,no,CareVirtue,1
pacificist,n,H,no,CareVirtue,1
pacificists,n,H,no,CareVirtue,1
pacifier,n,S,no,CareVirtue,1
pacifiers,n,S,no,CareVirtue,1
pacifist,n,H,no,CareVirtue,1
pacifists,n,H,no,CareVirtue,1
peace,n,A,no,CareVirtue,1
peace of mind,n,S,no,CareVirtue,1
peace treaties,n,S,no,CareVirtue,1
peace treaty,n,S,no,CareVirtue,1
peaceable,adj,S,no,CareVirtue,1
peaceableness,n,S,no,CareVirtue,1
peaceably,adv,O,no,CareVirtue,1
peaceful,adj,O,no,CareVirtue,1
peacefuller,adj,O,no,CareVirtue,1
peacefullest,adj,O,no,CareVirtue,1
peacefully,adv,O,no,CareVirtue,1
peacefulness,n,S,no,CareVirtue,1
peacefulnesses,n,S,no,CareVirtue,1
peacekeeper,n,O,no,CareVirtue,1
peacekeepers,n,O,no,CareVirtue,1
peacekeeping,n,O,no,CareVirtue,1
peacekeeping,adj,O,no,CareVirtue,1
peacekeeping mission,n,S,no,CareVirtue,1
peacekeeping missions,n,S,no,CareVirtue,1
peacekeeping operation,n,S,no,CareVirtue,1
peacekeeping operations,n,S,no,CareVirtue,1
peacekeepings,n,O,no,CareVirtue,1
peace-loving,adj,O,no,CareVirtue,1
peacemaker,n,O,no,CareVirtue,1
peacemakers,n,O,no,CareVirtue,1
peacenik,n,O,no,CareVirtue,1
peaceniks,n,O,no,CareVirtue,1
peaces,n,A,no,CareVirtue,1
peacetime,n,O,no,CareVirtue,1
peacetimes,n,O,no,CareVirtue,1
pities,n,S,no,CareVirtue,1
pity,n,S,no,CareVirtue,1
pity,v,S,yes,CareVirtue,1
pityingly,adv,S,no,CareVirtue,1
precaution,n,S,no,CareVirtue,1
precautions,n,S,no,CareVirtue,1
preserve,v,O,yes,CareVirtue,1
prevent,v,H,yes,CareVirtue,1
preventative,n,H,no,CareVirtue,1
preventatives,n,H,no,CareVirtue,1
preventive,n,H,no,CareVirtue,1
preventives,n,H,no,CareVirtue,1
procure,v,S,yes,CareVirtue,1
profit,v,S,yes,CareVirtue,1
prophylactic,n,S,no,CareVirtue,1
prophylactics,n,S,no,CareVirtue,1
protagonist,n,H,no,CareVirtue,1
protagonists,n,H,no,CareVirtue,1
protect,v,H,yes,CareVirtue,1
protected,adj,O,no,CareVirtue,1
protecting,adj,O,no,CareVirtue,1
protection,n,H,no,CareVirtue,1
protectionism,n,O,no,CareVirtue,1
protectionisms,n,O,no,CareVirtue,1
protectionist,n,O,no,CareVirtue,1
protectionists,n,O,no,CareVirtue,1
protections,n,H,no,CareVirtue,1
protective,adj,S,no,CareVirtue,1
protective,n,H,no,CareVirtue,1
protective cover,n,S,no,CareVirtue,1
protective covering,n,S,no,CareVirtue,1
protective coverings,n,S,no,CareVirtue,1
protective covers,n,S,no,CareVirtue,1
protectively,adv,O,no,CareVirtue,1
protectiveness,n,O,no,CareVirtue,1
protectives,n,H,no,CareVirtue,1
protector,n,H,no,CareVirtue,1
protectorate,n,O,no,CareVirtue,1
protectorates,n,O,no,CareVirtue,1
protectors,n,H,no,CareVirtue,1
protectorship,n,O,no,CareVirtue,1
protectorships,n,O,no,CareVirtue,1
provide,v,H,yes,CareVirtue,1
public securities,n,S,no,CareVirtue,1
public security,n,S,no,CareVirtue,1
reconciler,n,S,no,CareVirtue,1
reconcilers,n,S,no,CareVirtue,1
refuge,n,H,no,CareVirtue,1
refuges,n,H,no,CareVirtue,1
repair,n,H,no,CareVirtue,1
repairs,n,H,no,CareVirtue,1
reparation,n,H,no,CareVirtue,1
reparations,n,H,no,CareVirtue,1
reservation,n,H,no,CareVirtue,1
reservations,n,H,no,CareVirtue,1
reserve,n,H,no,CareVirtue,1
reserves,n,H,no,CareVirtue,1
safe,adj,O,no,CareVirtue,1
safe-conduct,n,O,no,CareVirtue,1
safeguard,n,S,no,CareVirtue,1
safeguard,v,O,yes,CareVirtue,1
safeguards,n,S,no,CareVirtue,1
safehold,n,O,no,CareVirtue,1
safeholds,n,O,no,CareVirtue,1
safekeeping,n,O,no,CareVirtue,1
safekeepings,n,O,no,CareVirtue,1
safely,adj,O,no,CareVirtue,1
safeness,n,O,no,CareVirtue,1
safer,adj,O,no,CareVirtue,1
safest,adj,O,no,CareVirtue,1
safety,n,S,no,CareVirtue,1
safety device,n,S,no,CareVirtue,1
safety devices,n,S,no,CareVirtue,1
safety-related,adj,O,no,CareVirtue,1
sanctuaries,n,H,no,CareVirtue,1
sanctuary,n,H,no,CareVirtue,1
save,v,S,yes,CareVirtue,1
saved,adj,S,no,CareVirtue,1
screen,v,S,yes,CareVirtue,1
secure,adj,S,no,CareVirtue,1
secure,v,O,yes,CareVirtue,1
securely,adv,O,no,CareVirtue,1
secureness,n,O,no,CareVirtue,1
securer,n,O,no,CareVirtue,1
securers,n,O,no,CareVirtue,1
securities,n,H,no,CareVirtue,1
security,n,H,no,CareVirtue,1
security department,n,S,no,CareVirtue,1
security departments,n,S,no,CareVirtue,1
security measure,n,S,no,CareVirtue,1
security measures,n,S,no,CareVirtue,1
security system,n,S,no,CareVirtue,1
security systems,n,S,no,CareVirtue,1
sentry duties,n,S,no,CareVirtue,1
sentry duty,n,S,no,CareVirtue,1
sentry go,n,S,no,CareVirtue,1
serenities,n,S,no,CareVirtue,1
serenity,n,S,no,CareVirtue,1
shelter,n,S,no,CareVirtue,1
shelter,v,O,yes,CareVirtue,1
shelters,n,S,no,CareVirtue,1
shield,v,O,yes,CareVirtue,1
shielder,n,H,no,CareVirtue,1
shielders,n,H,no,CareVirtue,1
strengthen,v,H,yes,CareVirtue,1
strong,adj,S,no,CareVirtue,1
stronger,adj,S,no,CareVirtue,1
strongest,adj,S,no,CareVirtue,1
support,v,S,yes,CareVirtue,1
supportable,adj,S,no,CareVirtue,1
supporter,n,H,no,CareVirtue,1
supporters,n,H,no,CareVirtue,1
sureties,n,S,no,CareVirtue,1
surety,n,S,no,CareVirtue,1
sympathetic,adj,O,no,CareVirtue,1
sympathetically,adv,S,no,CareVirtue,1
sympathies,n,H,no,CareVirtue,1
sympathise,v,S,yes,CareVirtue,1
sympathiser,n,O,no,CareVirtue,1
sympathisers,n,O,no,CareVirtue,1
sympathize,v,S,yes,CareVirtue,1
sympathize with,v,S,yes,CareVirtue,1
sympathizer,n,S,no,CareVirtue,1
sympathizers,n,S,no,CareVirtue,1
sympathy,n,H,no,CareVirtue,1
tenderness,n,H,no,CareVirtue,1
tendernesses,n,H,no,CareVirtue,1
tending,n,S,no,CareVirtue,1
tendings,n,S,no,CareVirtue,1
trade protection,n,S,no,CareVirtue,1
trade protections,n,S,no,CareVirtue,1
tranquilities,n,H,no,CareVirtue,1
tranquility,n,H,no,CareVirtue,1
tranquillities,n,H,no,CareVirtue,1
tranquillity,n,H,no,CareVirtue,1
tribute,n,S,no,CareVirtue,1
tributes,n,S,no,CareVirtue,1
tutelage,n,S,no,CareVirtue,1
tutelages,n,S,no,CareVirtue,1
unabused,adj,A,no,CareVirtue,1
unafraid,adj,S,no,CareVirtue,1
unassailable,adj,S,no,CareVirtue,1
unattackable,adj,S,no,CareVirtue,1
undamaged,adj,A,no,CareVirtue,1
unexploited,adj,A,no,CareVirtue,1
United States Department of Defense,n,S,no,CareVirtue,1
untroubled,adj,S,no,CareVirtue,1
uphold,v,S,yes,CareVirtue,1
upkeep,n,S,no,CareVirtue,1
vouch,v,H,yes,CareVirtue,1
ward,v,S,yes,CareVirtue,1
warmheartedness,n,H,no,CareVirtue,1
warmness,n,H,no,CareVirtue,1
warmnesses,n,H,no,CareVirtue,1
warrant,n,H,no,CareVirtue,1
warrantee,n,H,no,CareVirtue,1
warrantees,n,H,no,CareVirtue,1
warranties,n,H,no,CareVirtue,1
warrants,n,H,no,CareVirtue,1
warranty,n,H,no,CareVirtue,1
welfare,n,S,no,CareVirtue,1
well-wisher,n,S,no,CareVirtue,1
well-wishers,n,S,no,CareVirtue,1
worry,v,S,yes,CareVirtue,1
abandon,n,O,no,CareVice,2
abandoned,adj,O,no,CareVice,2
abandons,n,O,no,CareVice,2
abase,v,H,yes,CareVice,2
abuse,n,H,no,CareVice,2
abuse,v,O,yes,CareVice,2
abused,adj,O,no,CareVice,2
abuser,n,O,no,CareVice,2
abusers,n,O,no,CareVice,2
abuses,n,H,no,CareVice,2
ache,v,S,yes,CareVice,2
adverse,adj,S,no,CareVice,2
adverser,adj,S,no,CareVice,2
adversest,adj,S,no,CareVice,2
affliction,n,H,no,CareVice,2
afflictions,n,H,no,CareVice,2
aggress,v,S,yes,CareVice,2
aggression,n,H,no,CareVice,2
aggressions,n,H,no,CareVice,2
aggressiveness,n,H,no,CareVice,2
aggressivenesses,n,H,no,CareVice,2
aggressor,n,S,no,CareVice,2
aggressors,n,S,no,CareVice,2
agitate,v,S,yes,CareVice,2
agonies,n,S,no,CareVice,2
agony,n,S,no,CareVice,2
anguish,v,S,yes,CareVice,2
animalisation,n,S,no,CareVice,2
animalisations,n,S,no,CareVice,2
animalise,v,S,yes,CareVice,2
animalization,n,S,no,CareVice,2
animalizations,n,S,no,CareVice,2
animalize,v,S,yes,CareVice,2
annihilate,v,O,yes,CareVice,2
annihilated,adj,O,no,CareVice,2
antagonism,n,H,no,CareVice,2
antagonisms,n,H,no,CareVice,2
arguing,n,H,no,CareVice,2
arguings,n,H,no,CareVice,2
argument,n,H,no,CareVice,2
arguments,n,H,no,CareVice,2
assail,v,H,yes,CareVice,2
assailant,n,S,no,CareVice,2
assailants,n,S,no,CareVice,2
assault,v,H,yes,CareVice,2
assaulter,n,S,no,CareVice,2
assaulters,n,S,no,CareVice,2
assaultive,adj,S,no,CareVice,2
atrocities,n,H,no,CareVice,2
atrocity,n,H,no,CareVice,2
attack,v,H,yes,CareVice,2
attack,n,O,no,CareVice,2
attack aircraft,n,S,no,CareVice,2
attack aircrafts,n,S,no,CareVice,2
attacker,n,O,no,CareVice,2
attackers,n,O,no,CareVice,2
attacking,adj,O,no,CareVice,2
attacks,n,O,no,CareVice,2
baffle,v,H,yes,CareVice,2
bankrupt,v,S,yes,CareVice,2
barbarism,n,S,no,CareVice,2
barbarisms,n,S,no,CareVice,2
barbarities,n,S,no,CareVice,2
barbarity,n,S,no,CareVice,2
barbarous,adj,S,no,CareVice,2
battle,n,H,no,CareVice,2
battler,n,S,no,CareVice,2
battlers,n,S,no,CareVice,2
battles,n,H,no,CareVice,2
bear,v,S,yes,CareVice,2
bearable,adj,S,no,CareVice,2
beat,v,H,yes,CareVice,2
beat out,v,S,yes,CareVice,2
belligerent,adj,S,no,CareVice,2
belligerents,n,S,no,CareVice,2
bilk,v,H,yes,CareVice,2
blackball,v,H,yes,CareVice,2
blackguard,v,S,yes,CareVice,2
blast,n,S,no,CareVice,2
blasting,adj,S,no,CareVice,2
blasts,n,S,no,CareVice,2
brawling,adj,S,no,CareVice,2
break,v,S,yes,CareVice,2
break down,v,S,yes,CareVice,2
broken,adj,S,no,CareVice,2
brook,v,S,yes,CareVice,2
bruise,v,S,yes,CareVice,2
brutal,adj,S,no,CareVice,2
brutalisation,n,O,no,CareVice,2
brutalisations,n,O,no,CareVice,2
brutalise,v,O,yes,CareVice,2
brutalities,n,O,no,CareVice,2
brutality,n,O,no,CareVice,2
brutalization,n,S,no,CareVice,2
brutalizations,n,S,no,CareVice,2
brutalize,v,S,yes,CareVice,2
brutally,adv,O,no,CareVice,2
carry off,v,S,yes,CareVice,2
cast,v,S,yes,CareVice,2
casualties,n,H,no,CareVice,2
casualty,n,H,no,CareVice,2
catastrophic,adj,S,no,CareVice,2
chagrin,v,H,yes,CareVice,2
chuck,v,H,yes,CareVice,2
clapperclaw,v,S,yes,CareVice,2
coldheartedness,n,H,no,CareVice,2
coldheartednesses,n,H,no,CareVice,2
combat,n,S,no,CareVice,2
combat injuries,n,S,no,CareVice,2
combat injury,n,S,no,CareVice,2
combatant,n,S,no,CareVice,2
combatants,n,S,no,CareVice,2
combat-ready,adj,S,no,CareVice,2
combats,n,S,no,CareVice,2
competitiveness,n,S,no,CareVice,2
competitivenesses,n,S,no,CareVice,2
conflicts,n,H,no,CareVice,2
conflict,n,H,no,CareVice,2
contend,v,H,yes,CareVice,2
contention,n,H,no,CareVice,2
contentions,n,H,no,CareVice,2
contestation,n,H,no,CareVice,2
contestations,n,H,no,CareVice,2
controversies,n,H,no,CareVice,2
controversy,n,H,no,CareVice,2
contumelies,n,S,no,CareVice,2
contumely,n,S,no,CareVice,2
contuse,v,H,yes,CareVice,2
crime,n,H,no,CareVice,2
crimes,n,H,no,CareVice,2
criticise,v,H,yes,CareVice,2
criticism,n,H,no,CareVice,2
criticisms,n,H,no,CareVice,2
criticize,v,H,yes,CareVice,2
cruel,adj,O,no,CareVice,2
crueler,adj,O,no,CareVice,2
cruelest,adj,O,no,CareVice,2
cruelly,adv,O,no,CareVice,2
cruelness,n,O,no,CareVice,2
cruelnesses,n,O,no,CareVice,2
cruelties,n,S,no,CareVice,2
cruelty,n,S,no,CareVice,2
crumble,v,H,yes,CareVice,2
crunch,n,S,no,CareVice,2
crunches,n,S,no,CareVice,2
crusade,n,H,no,CareVice,2
crusade,v,S,yes,CareVice,2
crusades,n,H,no,CareVice,2
crush,v,O,yes,CareVice,2
crushed,adj,O,no,CareVice,2
crusher,n,O,no,CareVice,2
crushers,n,O,no,CareVice,2
crushing,n,O,no,CareVice,2
crushing,adj,O,no,CareVice,2
crushingly,adv,O,no,CareVice,2
crushings,n,O,no,CareVice,2
cut,v,H,yes,CareVice,2
damage,n,S,no,CareVice,2
damage,v,H,yes,CareVice,2
damaged,adj,O,no,CareVice,2
damages,n,O,no,CareVice,2
damaging,adj,O,no,CareVice,2
danger,n,H,no,CareVice,2
dangerous,adj,A,no,CareVice,2
dangerousness,n,A,no,CareVice,2
dangerousnesses,n,A,no,CareVice,2
dangers,n,H,no,CareVice,2
decay,n,H,no,CareVice,2
decay,v,H,yes,CareVice,2
decays,n,H,no,CareVice,2
decimate,v,S,yes,CareVice,2
defeat,v,S,yes,CareVice,2
defenestrate,v,O,yes,CareVice,2
degeneration,n,H,no,CareVice,2
degenerations,n,H,no,CareVice,2
delapidate,v,H,yes,CareVice,2
deleterious,adj,S,no,CareVice,2
demolish,v,S,yes,CareVice,2
demolition,n,H,no,CareVice,2
demolitions,n,H,no,CareVice,2
depredation,n,S,no,CareVice,2
depredations,n,S,no,CareVice,2
derelict,adj,S,no,CareVice,2
desolate,v,H,yes,CareVice,2
desolation,n,H,no,CareVice,2
desolations,n,H,no,CareVice,2
destroy,v,H,yes,CareVice,2
destroyed,adj,S,no,CareVice,2
destroyer,n,S,no,CareVice,2
destroyers,n,S,no,CareVice,2
destruct,v,H,yes,CareVice,2
destruction,n,H,no,CareVice,2
destructions,n,H,no,CareVice,2
destructiveness,n,H,no,CareVice,2
destructivenesses,n,H,no,CareVice,2
detriment,n,S,no,CareVice,2
detrimental,adj,S,no,CareVice,2
detrimentally,adv,S,no,CareVice,2
detriments,n,S,no,CareVice,2
devastate,v,H,yes,CareVice,2
devastating,adj,S,no,CareVice,2
devastation,n,H,no,CareVice,2
devastations,n,H,no,CareVice,2
dilapidation,n,S,no,CareVice,2
dilapidations,n,S,no,CareVice,2
disadvantageous,adj,S,no,CareVice,2
discard,v,H,yes,CareVice,2
disceptation,n,H,no,CareVice,2
disceptations,n,H,no,CareVice,2
discomfit,v,H,yes,CareVice,2
discompose,v,H,yes,CareVice,2
disconcert,v,H,yes,CareVice,2
discredited,adj,S,no,CareVice,2
disdain,v,S,yes,CareVice,2
diseased people,n,S,no,CareVice,2
diseased person,n,S,no,CareVice,2
dispose,v,H,yes,CareVice,2
disputation,n,H,no,CareVice,2
disputations,n,H,no,CareVice,2
distress,n,S,no,CareVice,2
distresses,n,S,no,CareVice,2
done for,adj,S,no,CareVice,2
down,v,S,yes,CareVice,2
downfall,n,S,no,CareVice,2
downfalls,n,S,no,CareVice,2
eliminate,v,S,yes,CareVice,2
endanger,v,O,yes,CareVice,2
endangered,adj,O,no,CareVice,2
endangerment,n,O,no,CareVice,2
endangerments,n,O,no,CareVice,2
endure,v,S,yes,CareVice,2
enmities,n,H,no,CareVice,2
enmity,n,H,no,CareVice,2
eradicate,v,S,yes,CareVice,2
excruciation,n,S,no,CareVice,2
excruciations,n,S,no,CareVice,2
exhaust,v,H,yes,CareVice,2
exploit,v,O,yes,CareVice,2
exploit,n,O,no,CareVice,2
exploited,adj,O,no,CareVice,2
exploiting,v,O,yes,CareVice,2
exploits,n,O,no,CareVice,2
exploits,v,O,yes,CareVice,2
expose,v,S,yes,CareVice,2
exterminated,adj,S,no,CareVice,2
extinguish,v,S,yes,CareVice,2
failure,n,H,no,CareVice,2
failures,n,H,no,CareVice,2
fall,v,H,yes,CareVice,2
fatalities,n,H,no,CareVice,2
fatality,n,H,no,CareVice,2
fell,adj,S,no,CareVice,2
ferociousness,n,S,no,CareVice,2
ferocities,n,S,no,CareVice,2
ferocity,n,S,no,CareVice,2
fierce,adj,S,no,CareVice,2
fierceness,n,S,no,CareVice,2
fight,v,H,yes,CareVice,2
fight,n,O,no,CareVice,2
fight back,v,S,yes,CareVice,2
fight down,v,S,yes,CareVice,2
fighter,n,O,no,CareVice,2
fighter aircraft,n,S,no,CareVice,2
fighter aircrafts,n,S,no,CareVice,2
fighters,n,O,no,CareVice,2
fighting,adj,S,no,CareVice,2
fighting,n,S,no,CareVice,2
fightings,n,S,no,CareVice,2
fights,n,O,no,CareVice,2
fire,n,S,no,CareVice,2
fires,n,S,no,CareVice,2
fisticuff,n,H,no,CareVice,2
fisticuffs,n,H,no,CareVice,2
flak,n,S,no,CareVice,2
flaks,n,S,no,CareVice,2
fling,v,H,yes,CareVice,2
foil,v,H,yes,CareVice,2
fragment,v,H,yes,CareVice,2
fragmentise,v,H,yes,CareVice,2
fragmentize,v,H,yes,CareVice,2
frustrate,v,H,yes,CareVice,2
furies,n,S,no,CareVice,2
furiousness,n,S,no,CareVice,2
fury,n,S,no,CareVice,2
give up,v,S,yes,CareVice,2
hardheartedness,n,H,no,CareVice,2
hardheartednesses,n,H,no,CareVice,2
harm,n,O,no,CareVice,2
harm,v,O,yes,CareVice,2
harmful,adj,O,no,CareVice,2
harmfully,adv,O,no,CareVice,2
harmfulness,n,O,no,CareVice,2
harmfulnesses,n,O,no,CareVice,2
harms,n,O,no,CareVice,2
